instancia,only_grasp_best,grasp_mlp_best,only_grasp_average,grasp_mlp_average,average_gap,execution_time
X-n1001-k43.vrp,73597,73597,73738.3,73735.1,-4.233827360270183e-05,2929.1
X-n101-k25.vrp,27591,27597,27591.0,27622.5,0.0011416766336848974,100.4
X-n106-k14.vrp,26383,26461,26416.3,26491.2,0.002835791676577753,100.2
X-n110-k13.vrp,14971,14971,14971.0,14997.0,0.0017366909358092313,110.0
X-n115-k10.vrp,12747,12747,12747.0,12747.0,0.0,110.0
X-n120-k6.vrp,13332,13332,13332.1,13332.0,-7.5001875046876165e-06,118.8
X-n125-k30.vrp,55748,55690,55848.4,55739.0,-0.0019583484389090644,120.1
X-n129-k18.vrp,28948,29022,28966.3,29054.2,0.003034677104961739,120.7
X-n134-k13.vrp,10944,10963,10946.5,10981.7,0.0032157208293600325,130.0
X-n139-k10.vrp,13590,13595,13596.2,13611.6,0.0011329221621876916,130.0
X-n143-k7.vrp,15700,15726,15708.3,15757.4,0.003126636462954916,140.0
X-n148-k46.vrp,43468,43545,43499.9,43562.9,0.0014484715383889005,140.1
X-n153-k22.vrp,21296,21271,21366.5,21305.8,-0.0028372194955200306,150.0
X-n157-k13.vrp,16876,16876,16877.1,16877.9,4.741968958500068e-05,150.0
X-n162-k11.vrp,14138,14150,14146.1,14177.7,0.0022338871111858716,160.0
X-n167-k10.vrp,20557,20597,20589.4,20656.8,0.003274610060326385,160.0
X-n172-k51.vrp,45728,45873,45772.5,45937.4,0.003603166596603912,170.0
X-n176-k26.vrp,48595,48442,48745.2,48551.9,-0.003962472623354572,170.2
X-n181-k23.vrp,25580,25579,25590.5,25587.1,-0.00013273247929022563,180.0
X-n186-k15.vrp,24174,24254,24193.1,24292.0,0.004088293835403521,180.0
X-n190-k8.vrp,17021,17026,17038.1,17073.6,0.002084815232962378,188.1
X-n195-k51.vrp,44380,44396,44403.0,44428.1,0.0005655051870611351,190.3
X-n200-k36.vrp,58902,58907,59032.1,58996.3,-0.0006051338149999205,200.0
X-n204-k19.vrp,19594,19771,19655.8,19807.1,0.007701220052446049,200.1
X-n209-k16.vrp,30704,30837,30747.9,30865.8,0.003835062320797835,200.0
X-n214-k11.vrp,10949,11016,10977.3,11052.4,0.006842601404174878,210.0
X-n219-k73.vrp,117671,117657,117711.7,117700.5,-9.512746424846946e-05,210.4
X-n223-k34.vrp,40532,40714,40604.4,40780.8,0.004344683574294441,220.0
X-n228-k23.vrp,25814,25978,25837.9,26006.5,0.006525720857393341,220.0
X-n233-k16.vrp,19271,19334,19310.5,19411.4,0.005226541861497003,230.0
X-n237-k14.vrp,27069,27060,27128.7,27093.4,-0.0012995027124662688,230.0
X-n242-k48.vrp,83071,83198,83157.6,83298.2,0.0016912467176674662,240.0
X-n247-k50.vrp,37576,37520,37706.5,37586.0,-0.0031919035313758724,240.0
X-n251-k28.vrp,38863,38827,38954.2,38931.0,-0.0005954047328663035,500.1
X-n256-k16.vrp,18881,18880,18891.1,18886.9,-0.0002222434797661268,500.0
X-n261-k13.vrp,26774,26751,26835.5,26803.9,-0.0011756811788617275,520.0
X-n266-k58.vrp,76172,76087,76240.7,76183.9,-0.00074465833508933,521.2
X-n270-k35.vrp,35423,35423,35470.5,35465.8,-0.00013209598996278613,537.3
X-n275-k28.vrp,21300,21304,21321.4,21321.1,-1.3781120144157192e-05,540.0
X-n280-k17.vrp,33789,33777,33851.5,33827.5,-0.0007083799103890089,551.7
X-n284-k15.vrp,20425,20425,20480.4,20456.1,-0.00118270778537851,560.0
X-n289-k60.vrp,96056,95970,96174.6,96133.8,-0.00042358946217373,560.0
X-n294-k50.vrp,47318,47339,47381.4,47378.1,-6.931893435430011e-05,580.0
X-n298-k31.vrp,34341,34410,34491.0,34478.7,-0.00035513827130439037,580.5
X-n303-k21.vrp,21846,21851,21890.8,21892.3,6.901077614886425e-05,600.0
X-n308-k13.vrp,26026,26026,26076.2,26086.3,0.0003884338111219534,600.0
X-n313-k71.vrp,94787,94803,94891.6,94897.4,6.141814836486793e-05,620.0
X-n317-k53.vrp,78391,78389,78412.6,78406.3,-8.033287610073208e-05,620.1
X-n322-k28.vrp,30033,29972,30059.8,30036.1,-0.0007882077774284346,640.4
X-n327-k20.vrp,27718,27713,27766.6,27750.2,-0.0005893201649949846,641.5
X-n331-k15.vrp,31222,31179,31252.8,31231.3,-0.0006874546247563335,660.1
X-n336-k84.vrp,140183,140183,140415.6,140395.3,-0.00014422141608473854,660.9
X-n344-k43.vrp,42404,42347,42459.9,42433.6,-0.0006188484185710925,680.0
X-n351-k40.vrp,26117,26123,26176.8,26158.7,-0.0006898136846750904,700.1
X-n359-k29.vrp,51904,51857,51942.1,51914.7,-0.0005269652954656685,700.0
X-n367-k17.vrp,22960,22952,22989.1,22985.1,-0.00017360483112245195,720.0
X-n376-k94.vrp,147763,147763,147806.6,147799.1,-5.073723313936473e-05,740.0
X-n384-k52.vrp,66429,66274,66481.0,66470.3,-0.00016095040284624563,760.0
X-n393-k38.vrp,38509,38503,38543.7,38542.1,-4.122199209137111e-05,780.2
X-n401-k29.vrp,66469,66512,66551.5,66554.1,3.9385569474898535e-05,800.1
X-n411-k19.vrp,19903,19907,19936.9,19940.1,0.00016159764112522377,820.2
X-n420-k130.vrp,108356,108356,108468.7,108459.0,-8.926038716002304e-05,808.7
X-n429-k61.vrp,65884,65927,66000.9,66018.4,0.00026552674772487955,840.0
X-n439-k37.vrp,36464,36464,36524.1,36517.5,-0.00018050409070683853,860.1
X-n449-k29.vrp,55872,55895,55957.6,55951.9,-0.0001007440444136214,880.0
X-n459-k26.vrp,24473,24473,24533.5,24525.2,-0.00033797518971845624,900.2
X-n469-k138.vrp,225314,225243,225589.3,225561.7,-0.00012189869006391748,923.6
X-n480-k70.vrp,89980,89921,90048.9,90027.5,-0.00023746556089509506,945.6
X-n491-k59.vrp,67173,67050,67234.1,67167.2,-0.0009945538614627102,980.1
X-n502-k39.vrp,69297,69292,69308.8,69308.1,-1.0095911221675943e-05,1500.7
X-n513-k21.vrp,24393,24360,24419.7,24407.5,-0.000499598800119886,1532.5
X-n524-k153.vrp,155474,155588,155746.6,155784.3,0.00024257889429450024,1532.6
X-n536-k96.vrp,95969,95956,96030.6,96042.1,0.00012009667152049378,1593.2
X-n548-k50.vrp,86845,86864,86915.3,86930.9,0.00017957259001484392,1620.3
X-n561-k42.vrp,43003,42952,43020.8,42991.9,-0.0006716554334620592,1654.6
X-n573-k30.vrp,50969,51008,51037.0,51030.2,-0.00013296186971517926,1679.7
X-n586-k159.vrp,192546,192483,192674.7,192675.8,5.94066401744844e-06,1753.4
X-n599-k92.vrp,109459,109465,109566.9,109577.3,9.522470217002667e-05,1775.4
X-n613-k62.vrp,60398,60296,60468.4,60412.1,-0.0009308257496161111,1825.1
X-n627-k43.vrp,62815,62843,62890.2,62889.2,-1.5656628949481757e-05,1862.8
X-n641-k35.vrp,64485,64477,64561.2,64538.3,-0.0003543115353369466,1897.5
X-n655-k131.vrp,106948,106930,106967.3,106951.5,-0.0001476987776290113,1939.9
X-n670-k130.vrp,149743,149780,150056.1,150102.9,0.00031387982735984544,1994.0
X-n685-k75.vrp,69018,68899,69079.2,69045.3,-0.0004906646847741684,2037.5
X-n701-k44.vrp,82681,82670,82793.8,82768.0,-0.00031139885837896134,2038.9
X-n716-k35.vrp,44005,43971,44052.7,44038.4,-0.00032413156697606155,2140.8
X-n733-k159.vrp,137072,137131,137237.3,137241.8,3.308655353455271e-05,2148.7
X-n749-k98.vrp,78298,78298,78353.7,78351.9,-2.2869629687864772e-05,2231.1
X-n766-k71.vrp,115319,115350,115487.4,115438.9,-0.00041976353469368004,2245.6
X-n783-k48.vrp,73230,73253,73346.3,73335.4,-0.00014803647491553614,2291.7
X-n801-k40.vrp,73733,73696,73778.4,73754.7,-0.0003210105658377527,2331.6
X-n819-k171.vrp,160050,160119,160179.8,160187.2,4.636941275854458e-05,2424.2
X-n837-k142.vrp,195546,195555,195642.2,195662.9,0.00010585242034673003,2439.8
X-n856-k95.vrp,89307,89334,89379.3,89379.6,3.510776465850756e-06,2494.3
X-n876-k59.vrp,100338,100330,100429.7,100427.0,-2.6673635921956404e-05,2562.6
X-n895-k37.vrp,54805,54805,54927.0,54893.9,-0.0006021218010716422,2610.8
X-n916-k207.vrp,332495,332586,332762.0,332763.4,4.2920939095821714e-06,2667.3
X-n936-k151.vrp,135439,135439,135820.9,135865.0,0.0003263530495404856,2753.6
X-n957-k87.vrp,85897,85897,85966.7,85958.8,-9.180583867153816e-05,2802.1
X-n979-k58.vrp,120085,120061,120158.9,120145.6,-0.00011064380771873055,2869.8
